Full Address,Latitude,Longitude,"Location of accidents 
 including 
 chainage (km to km)",NH No.,"No. of fatalities 
 during 
 2011",Reasons for frequent accidents,Nature of treatment required at the specific spot/stretches
Gopal Ganj Bathna Kuti ,26.5956732,84.2756134,,28,,Crossing and lower road near Gandak Nehar,"Installation of speed breaker, road safety indicators and traffic signals/rules related 
 boards/signage"
Gopal Ganj Balthari Checkpost ,26.5704371,84.3071251,,28,,Repeated visits of vehicles for checking at check posts,"Installation of speed breaker, road safety indicators and traffic signals/rules related 
 boards/signage"
Gopal Ganj Bhatva Mode ,26.4831584,84.43655,,28,,"Meeting point of rural roads and many 
 shops adjacent to the 
 NH","Installation of speed breaker, road safety indicators and traffic signals/rules related 
 boards/signage"
Gopal Ganj Konhava mode ,26.4831584,84.43655,,28,,"Meeting point of rural roads, dense population, many 
 shops adjacent to the 
 NH and frequent visits by people","Installation of speed breaker, road safety indicators and traffic signals/rules related 
 boards/signage"
Gopal Ganj Near Sasamusa Bajrang Talkies ,26.5164971,84.3717867,,28,,"Cinema hall adjacent to NH, stopping of 
 vehicles and dense population.","Installation of speed breaker, road safety indicators and traffic signals/rules related 
 boards/signage"
"Gopal Ganj Yadopur mode 
 (Kamla Rai 
 Chowk) ",26.4831584,84.43655,,28,,"Crossings and the main road which 
 connects the districts of Betiya and 
 Gopalganj crosses NH 28.","Construction of underpass, road safety indicators and traffic signals/rules related 
 boards/signage"
"Gopal Ganj Arar mode near 
 Vehicle 
 Pollution checking centre ",26.4831584,84.43655,,28,,"School adjacent to 
 NH and thickly populated residential area.","Installation of speed breaker, road safety indicators and traffic signals/rules related 
 boards/signage"
Gopal Ganj Near Koyani Bazar ,26.4831584,84.43655,,28,,"Winding NH, many 
 shops adjacent to the 
 road and stopping of vehicles near the road.","Installation of speed breaker, road safety indicators and traffic signals/rules related 
 boards/signage"
Gopal Ganj Mahmudpur mode ,26.4831584,84.43655,,28,,"Connecting point of 
 NH 101 and NH 28 and local crowded market and 
 movement of many passer-bys","At present under pass is under construction. 
 Installation of road safety indicators and traffic signals/rules related boards/signage needed."
  ,,,,,,,
Name of the District Juridiction/ Police Station ,,,"Location of accidents 
 including 
 chainage (km to km)",NH No.,"No. of fatalities 
 during 
 2011",Reasons for frequent accidents,Nature of treatment required at the specific spot/stretches
Samastipur Main crossing of Tajpur ,25.8560271,85.7868233,,28,,"Plying of vehicles coming from Patna 
 and Muzaffarpur on busy roads","Widening of chowk, creation of round about, deployment of traffic police men and installation of latest traffic signals."
Samastipur Main crossing of Musrigharari ,25.8047439,85.7384617,,28,,"Plying of vehicles coming from Patna 
 and Muzaffarpur on busy roads","Widening of chowk, creation of round about, deployment of traffic police men and installation of latest traffic signals."
"Samastipur Main crossing of Dalsingh 
 Sarai ",25.6727062,85.8361928,,28,,"Plying of vehicles coming from of 
 Mohadi nagar and 
 Muzaffarpur on busy roads","Widening of chowk, creation of round about, deployment of traffic police men and installation of latest traffic signals."
"Khagadiya Telloch near 
 Nauranga flyover ",25.50452,86.4701416,,107,,Turning near bridge and movement of high speed vehicles.,"Widening of road at turning, installation of traffic signals/rules related boards/signage and fixing maximum speed limit."
"Khagadiya Place in between 
 Telloch and 
 Kharodhar ",25.50452,86.4701416,,107,,Densely populated area and stray animals on the road,Construction of service lane and fencing on both sides of the road near the hamlets
"Bhagalpur Tetari chowk on Navgachiya-
 Bhagalpur road ",25.387344,87.0979867,,31,,Heavy traffic and turning points,"Widening of roads, road divider, speed breaker and installation of traffic signals"
"Gaya Barachatti 
 Thana near 
 Block Mode ",24.505218,85.0053329,,31,,Market and two schools near road,Construction of footover bridges and installation of traffic signals
Patna Gandhi Setu ,25.6241234,85.2084192,,19,,"Densely populated area on both sides of 
 the road and heavy 
 traffic",Widening of roads and construction of foot overbridges
Patna Bakhtiyarpur ,25.4547359,85.539154,,30,,"Densely populated area on both sides of 
 the road and heavy 
 traffic",Widening of roads and construction of foot overbridges
Motihari Piprakothi ,26.5465807,84.9388299,,28,,,"1. Proper divider cutting on NH 28 towards 
 Muzaffarpur
 2. Construction of road divider or round about near Piprakothi chowk
 3. Installation of traffic signals on both sides of the road and presence of traffic police who can ensure lane-driving and no overtaking 
 4. Fix speed limit near"
Begusarai Savitri Cinema ,25.4228966,86.1373414,,,,,1. Widening of road and construction of divider from Zero mile to Lakho and Begusarai.
  ,,,,,,,2. Shift bus stand outside Begusarai city
