Full Address,Latitude,Longitude,NH No.,No. of fatalities,Reasons for frequent accidents
Raipur Village Dumratrai ,21.2050347,81.6856135,43,,"Inhabited area, sharp turn and no division of road"
Raipur Village Kandri ,21.2513844,81.6296413,43,,U-Turn zone
Raipur Village Nimora Turning ,21.2513844,81.6296413,43,,"Turning road, high speed of vehicles and no division of road"
Raipur Near Radiant School ,21.2513844,81.6296413,43,,"Turning road, high speed of vehicles and no division of road"
Dhamtari Near Birejhar ,20.983322,81.7167751,43,,"High speed of vehicles, no divider on road and road engineering not commensurate with the traffic moving on it"
Dhamtari Near Dadesara ,20.8098556,81.6740958,43,,"Inhabited area, turning of Nahar Pulia and road engineering not commensurate with the traffic moving on it"
Kankair Keshkaal Ghati ,20.0918646,81.5925152,43,,"Blind turning, narrow road and road engineering not commensurate with the traffic moving on it"
"Raipur Ring Road 1 Kushhalpur 
 Chowk, Bhathagaon 
 Chowk, New Rajendra 
 Nagar More, In front of ",21.2213914,81.6623728,6,,"No flyover, movement of heavy vehicles and a large number of crossings"
"Raipur/ 
 Mahasamund Mahatama Gandhi Setu, Mahanadi ",21.2513844,81.6296413,6,,Bridge not favourable for transport and sharp turning
"Raipur Ring Road 3, Junction Mandir, Hasod ",21.2513844,81.6296413,6,,Movement of heavy vehicles in opposite direction due to no gap way in four lane
Mahasamund Birkoni More ,21.1881632,82.0923977,6,,"Turning road, high speed of vehicles, no divider on road and parking of heavy vehicles on the road"
Mahasamund Before Jonk Nadi Pulia ,21.2653475,82.605118,6,,"Blind turn, high speed of vehicles and one way pulia"
Mahasamund Near Village Sahaletarai ,21.1124067,82.095962,6,,"Turning road, high speed of vehicles and no divider on road"
"Durg Station Chowk Kumhari, Charoda, Old Bhilai ",21.2318315,81.4581101,6,,No flyover and movement of heavy vehicles
Durg Near Indian Oil Depot ,21.1904494,81.2849169,6,,No service road for Indian Oil vehicles
Durg Sufela Chowk ,21.2067276,81.3494783,6,,No flyover and insufficient road crossings
Raipur Hirapur chowk ,21.2683855,81.5843826,200,,No flyover and movement of heavy
Raipur Rawabhata before Dhaneli Nala ,21.3133087,81.6377566,200,,Inhabited area and road engineering not commensurate with the traffic moving on it
Raipur Near Village Chanderi ,24.7128343,78.1364889,200,,Dangerous turn
Bilaspur Surgaon Disleri More ,22.0796545,82.1409152,200,,Dangerous turn and bad condition of road
Bilaspur Near Hardi Village ,22.0796545,82.1409152,200,,Dangerous turn and bad condition of road
Bilaspur Chandkhuri Nayapara More ,22.0796545,82.1409152,200,,Uncontrolled chowk
Bilaspur Near Ranigaon ,22.2730803,82.1502024,200,,Narrow road and no divider on road
Bilaspur Ratanpur Mandir turning ,22.2859094,82.165241,200,,Blind turning point and narrow road
Bilaspur Bailtara ,22.2838638,82.2719086,200,,No divider on road
