Full Address,Latitude,Longitude,NH No.,No. of fatalities,Reasons for frequent accidents
Gandhinagar District Gandhinagar Range Village Jethipura Board ,23.163337,72.704299,N.H.8A,2,Due to Connection Six lane to two lane Road
Subarkantha District Gandhinagar Range Shamlaji Town Road ,23.2156354,72.6369415,N.H.8A,8,Due Carve Road
"Kheda District 
 Ahmedabad Range Near Hariyana Bye pass Y Point ",23.022505,72.5713621,N.H.8 N.H.A.I.,3,"Due to Y Point, Overtaking"
"Anand District 
 Ahmedabad Range Village Vasad Cross Road ",23.022505,72.5713621,N.H.8A L & T,6,Due to Cross Road
Banaskantha District Border Range Bhuj Village Chandisar Cross Road Near Bus Stop ,24.2141834,72.3103927,N.H.14 Dinesh,9,Due to Over Speed & Cross road
Rajkot Rural Rajkot Range Village Shapar-Veraval ,22.1572507,70.7990772,"N.H.8B 
 N.H.A.I.",20,Due to Both Side Resi. Area & G.I.D.C. Area
Rajkot Rural Rajkot Range Village Pardi Board ,22.3038945,70.8021599,"N.H.8B 
 N.H.A.I.",7,Due to Curve Both Side Resi. Area
Rajkot Rural Rajkot Range Village Pardi Sim Near Shitala Mataji Temple ,22.3038945,70.8021599,"N.H.8B 
 N.H.A.I.",13,Due to Both Side Resi. Area & Industries
"Rajkot Rural Rajkot Range Village Maliya-Halvad Cross 
 Road ",22.3038945,70.8021599,"N.H.8A 
 N.H.A.I.",4,Due to Cross Road Without Speed Broker
Junagadh District Junagadh Range Village Gadu to Village Santipara ,21.5222203,70.4579436,"N.H.8D 
 N.H.A.I.",12,Due to Long Bridge & Curve Road
Junagadh District Junagadh Range Village Vadal Board ,21.6112856,70.4969637,"N.H.8D 
 N.H.A.I.",5,Due to Connected Three S.H.Road to N.H.
Bhavnagar District Junagadh Range Near Village Budhel Board ,21.5222203,70.4579436,"N.H.8E 
 N.H.A.I.",3,Due to Narrow Road & Without
Bhavnagar District Junagadh Randge Viilage Talaja To Village Velavadar ,21.3514348,72.0327247,"N.H.8E 
 N.H.A.I.",18,Due to Sharp Curve
Bharuch District Vadodara Range Sardar bridge South side Ankleshvar citi ,22.3071588,73.1812187,"N.H.No.8 
 L & T 
 Bharuch",6,From L & T Toll Both to mulad chokdi side become 3 lane to 1 lane then after crossing Bridge 2 lanes then it become 3 lanes
"Surat District Surat 
 Range Near Village Kim Cross Road Pipodara ",21.2416059,72.8134289,"N.H.8 
 I.R.B.",10,Both Side Resi. Area Near highway Due to Cross Road
"Surat District Surat 
 Range Village Kamrej Sugar Factor ",21.3340581,72.9630347,"N.H.8 
 I.R.B.",14,Due to Without Opening cut
"Surat District Surat 
 Range Village Dhoran Pardi ",21.313403,72.964509,"N.H.8 
 I.R.B.",14,Due to cross road
"Surat District Surat 
 Range Village Kholvad Cross Road ",21.2797966,72.947533,"N.H.8 
 I.R.B.",15,Due to Without Opening cut & Service Road
"Surat District Surat 
 Range Village Vav to Village Ubhel 
 Road ",21.1702401,72.8310607,"N.H.8 
 I.R.B.",18,Both Side Resi. Area Near highway Due to Cross Road
"Surat District Surat 
 Range Kadodara Bridge to Village Chalthan Road ",21.1934375,72.8521213,"N.H.8 
 I.R.B.",12,Both Side Resi. Area Near highway Due to Cross Road
"Surat District Surat 
 Range Village Khadak Pardi Board ",21.2074044,72.893606,"N.H.8 
 I.R.B.",9,Due to Curve road
"Surat District Surat 
 Range Village Sonvada Board ",21.2074044,72.893606,"N.H.8 
 I.R.B.",11,Due to road crossing & wrong side Transportation
"Tapi District Surat 
 Range Village Bajipura T Joint ",21.1702401,72.8310607,N.H.6 Soma Co.,10,"Due to Small Divider, Without Zebra crossing & Cat eye"
"Tapi District Surat 
 Range Village Bajipura Near Sumul Dairy ",21.1702401,72.8310607,N.H.6 Soma Co.,12,Due to Without Divider & Pedestrian crossing
"Tapi District Surat 
 Range Village Mayapur Opp, Seventh Day School ",21.1702401,72.8310607,N.H.6 Soma Co.,9,"Due to Without Speed Breaker, Barricading, Pedestrian crossing"
