Full Address,Latitude,Longitude,NH No.,"No. of fatalities 
 during 
 2011",Reasons for frequent accidents
"Ambala In front of 
 Bus/Railway Station, Ambala ",30.3752011,76.782122,1,23,"Excessive Traffic, Absence of Underground Sub-way"
"Kurukshetra bus stand, islamabad",33.6844202,73.0478848,65,36,"Excessive Traffic, Narrow roads, Absence of Service Lane"
Hisar Barwala Chowk Bypass ,29.3641876,75.9056753,10,19,"High speed vehicles, no traffic light, no flyovers"
"Hisar Bus Terminal, Hansi ",29.0972618,75.9638162,10,19,"Excessive traffic, no traffic light or"
Panchkula Ram Garh Chowk ,30.6942091,76.860565,22,13,"Excessive traffic, narrow chowk, absence of service lines"
Kaithal Ambala Bypass Naka ,29.8042758,76.4039016,65,27,"Excessive traffic, absence of traffic light"
Kaithal Titaram More ,29.8042758,76.4039016,65,26,"Excessive traffic, absence of traffic light, chowk not according to IRC"
Kaithal Shahar Pundari ,29.7621028,76.5546031,65,51,"Excessive traffic, no railing, no FOBs, id li no traffic lights"
Sonepat Bahalgarh Chowk ,28.9611609,77.0932643,,67,"Excessive traffic, no FOB"
Sonepat Hasanpur Cut ,28.9930823,77.0150735,1,10,"Excessive traffic, no FOB"
Panipat Gaon Siwah Cut ,29.3411553,76.9831816,1,14,"Excessive traffic, absence of sub-way"
Panipat Sector 29 Cut ,29.3528811,76.9844677,1,16,"Excessive traffic, no sub way or FOB"
Panipat Police Line Cut ,29.3909464,76.9635023,1,24,"Excessive traffic, no sub way or FOB"
Panipat Gaon Jattipur Cut ,29.3909464,76.9635023,1,16,"Excessive traffic, no sub way or FOB"
"Palwal Kitwabi Chowk, Aligarh Road ",28.1472852,77.3259878,2,7,"Excessive traffic, no flyover"
Palwal Bus Terminal ,28.1472163,77.3335193,2,7,"Excessive traffic, no flyover"
Faridabad Mewla Road Cut ,28.4089123,77.3177894,2,31,"Excessive traffic, no FOB"
Faridabad DLF Cut ,28.4089123,77.3177894,2,30,"Excessive traffic, no FOB"
Faridabad YMCA Chowk ,28.368198,77.315215,2,60,"Excessive traffic, no FOB, no traffic"
Faridabad Gaon Sikri Cut ,28.4089123,77.3177894,2,54,"Excessive traffic, no FOB, no traffic"
Faridabad Mewla Road Cut ,28.4089123,77.3177894,2,31,"Excessive traffic, no FOB, no traffic"
Gurgaon Narsinghpur ,28.4594965,77.0266383,8,18,"Excessive traffic, no sub-way, no FOB"
Gurgaon Khadsa Bus Stand ,28.4222734,76.9999298,8,51,"Excessive traffic, no sub-way, no FOB"
Gurgaon Hero Honda Chowk ,28.4293272,77.0201384,8,105,"Excessive traffic, no sub-way, no FOB"
Gurgaon Rajeev Chowk ,28.4473686,77.0261079,8,86,"Excessive traffic, no sub-way, no FOB"
