Full Address,Latitude,Longitude
Kude to Sativali NH 8 Thane/Manor ,19.4103953,72.8776456
Old kasara Ghat NH 3 Thane/Ghoti ,19.67,73.48
Malkapur NH 4 Satara/Karad ,17.277693,74.1843535
Waksai NH 4 Pune/Khandala ,18.5204303,73.8567437
Serve Town Chowk NH 6 Jalgaon/Paldhi ,21.0245349,75.4548646
Wadjai Nala NH 6 Jalgaon/Paldhi ,21.0176747,75.5118871
Saykhed Hawali NH 8 Thane/Manor ,19.2183307,72.9780897
Wadgaon Fata NH 4 Pune/Wadgaon ,18.5204303,73.8567437
Kashil NH 4 Satara/Karad ,17.277693,74.1843535
Kalambe NH 3 Thane/Shahapur ,19.2183307,72.9780897
Amboli NH 8 Thane/Charoti ,19.2183307,72.9780897
Sukeli Phata NH 17 Raigad/Mahad ,18.0820208,73.422441
Masur Fata NH 4 Satara/Karad ,17.277693,74.1843535
Naldurga Ghat NH 9 Osmanabad/Naldurga ,17.8149126,76.2751643
Eklagna Gaon NH 6 Jalgaon/Paldhi ,21.0245349,75.4548646
Avtar Dhaba NH 6 Jalgaon/Paldhi ,21.0245349,75.4548646
Umbarmali NH 3 Thane/Shahapur ,19.2183307,72.9780897
Kamshet NH 4 Pune/Wadgaon ,18.5204303,73.8567437
Warwada NH 8 Thane/Charoti ,19.2183307,72.9780897
Center Chowk(Dehu Road) NH 4 Pune/Vadgaon ,18.6860277,73.7477142
Vadoda NH 6 Nagpur/Ramtek ,21.1458004,79.0881546
Malup Shivar NH 211 Osmanabad/Naldurga ,17.8166677,76.2739795
Topgaon to Kasar Wadi NH 4 Kolhapur/Ujalaiwadi ,16.6687108,74.2689603
Jeetegaon NH 17 Raigad/Palaspe ,18.9535078,73.1290596
Dasarkhed NH 6 Buldhana/Malkapur ,20.9608756,76.1841701
