Full Address,Latitude,Longitude,NH No.,"No. of fatalities 
 during 
 2011",Reasons for frequent accidents,Nature of treatment required at the spot/streches
"Vishwakarma Jaipur West Road No. 1, 5, 6, 9, 12, 14 Vishwakarma Area ",26.9744348,75.7822556,11,15,"BRTS cut, heavy traffic, over speeding and careless driving.",construct Pedestrian footpath on every cut of BRTS and to create awareness about traffic rules
Chomu Jaipur West Jaitpura ,27.1248837,75.7302632,11,3,Industrial area and no speed limit.,"Fix speed limit, install signage, construct speed breakers and provide parking lights."
"Bagru Jaipur 
 West Thikriya More ",26.8078123,75.5401734,8,5,New construction of Vatika city and movement of Labourers and movement of heavy vehicles through Thikaria village to avoid toll tax.,provide traffic lights
"Bagru Jaipur 
 West Bhakrota ",26.8078123,75.5401734,8,9,Heavily Populated area and traffic movement at crossing.,need of bridge
T.P. Nagar Jaitpur East Ghat ki Guni Agra Road ,26.8934877,75.8580981,11,4,Roads are steeply sloped and curved and there are no street lights.,"provide street lights, install caution boards and speed breakers in accident prone areas"
Kanauta Jaipur East Mali ki Kothi Bagrana ,26.8785053,75.9257795,11,9,Damage of railing near Highway and no railing in some area and densely populated area on both sides of the road. Main reason is stopping of heavy vehicles on main Highway.,Repair of Damage railing behind Highway and construct railing in some area where it is necessary . It is good to construct bridge on densely populated area on both sides of the road.
Bajaj Nagar Jaipur East Tonk Pulia and nearby ,26.8657486,75.8013086,12,1,,
Chaksu Jaipur South Chaksu ,26.6034639,75.9435991,12,41,Heavy traffic,Need for Four lanes on State Highways
Shivdaspura Jaipur South Shivdaspura ,26.7112514,75.8955113,12,19,Construction of four lane in progress.,Completion of construction work will mitigate the problem.
Shyamnagar Jaipur South Shalimar Bagh to Ajmer road crossing ,26.9124336,75.7872709,8,6,Heavy traffic and cuts at many places in the divider of road.,Widening of road and closure of unnecessary cuts on road divider.
Shahapura Jaipur Rural Bhabhru ,27.3842893,75.9611437,8,13,"Cuts on NHW, crossing points and curved roads",Close cuts on NHW and install caution boards on crossing and turning points. To coordinate with NHAI to improve accident prone areas.
  ,,,,,,
Pragpura Jaipur Rural Bus Stand Pawta ,27.6063903,76.0899511,8,9,Heavily populated area,Close cuts on NHW and install caution boards on crossing and turning points.
Bahrod Alwar Bahrod ,27.8946773,76.2820297,8,25,Cuts on NH 8,Construction of flyovers.
Sadar Dausa Bhandarej More ,26.8821625,76.425938,11,7,Link roads and heavily populated areas.,Construction of flyover
Mania Dhaulpur Mania ,26.7253701,77.6536125,3,5,No accident caution board or speed breaker on NH. Bazars on Highways and narrow footpath. Lack of barricades in between service roads and Highways.,Construct speed breakers and install caution boards. To separate service lane with Highway and install barricades in between service lane and Highway.
Sumerpur Pali Kasba Sumerpur ,25.1526446,73.0822804,14,5,Heavy traffic and heavy crowd near Jhakhanagar and big pits on the road.,Widening and repairing of roads and divider on roads are required.
Sirohi Barighata ,24.8851548,72.8574558,14,7,Nursery to Bhagwati Dhaba hotel many turnings and steep road .,Railing on both sides of the road and speed breakers at the crossings are required. Work of four lane is already in progress .
Sukher Udaipur Cheerwaghata to Amrakhaji More ,24.6476735,73.7182988,8,9,"Awkward turn, steep road and deep trench near the road.",Construction of bypass from Amarkhaji to Cheerwa.
Thana Sukher Udaipur Bhuwana Bypass ,24.6224237,73.7080528,8,8,Turning and busy crossing,Install caution boards and fix speed limit.
Thana Sukher Udaipur Kailashpuri ,24.6476735,73.7182988,8,13,Awkward turn and uneven road,"Widening of roads, reduction in curvature, install caution boards and fix speed limit."
Pratapnagar Udaipur Pratapnagar Crossing ,24.5900703,73.7475095,8,3,"Two NHs meet at this point. Therefore, crossing becomes narrow. Heavy traffic, heavily populated area, no traffic lights","Widening of crossing, installation of traffic lights or construction of flyovers."
Gaurdhan Vilas Udaipur Balicha Chauraha ,24.585445,73.712479,8,16,Link road joins NH. Inattentive drivers.,Construction of overbridge for NH and city traffic should use the link road passing under the overbridge.
Byawar Sadar Ajmer Rani Sagar Kharwa ,26.104585,74.3199038,8,10,"Due to movement of traffic in Ricco area, Petrol pump and Dharamkanta.","Speed breaker, Zebra crossing, signages and traffic lights."
Madanganj Ajmer Chiriya Bawari ,26.5839309,74.8496692,8,5,"Slight curve, carelessness of drivers.",Remedial work in progress.
"Bandar Sindri 
 Ajmer Patan Tiraya ",26.5981243,75.0372876,8,3,Thickly populated area and people keep crossing the road anywhere.,Construction of speed breakers and railing on both sides of the road.
